UUID,Complete Description,Task Fail
UR-TSK-100001578,Completed,0
UR-TSK-100001577,Completed,0
UR-TSK-100001576,Completed,0
UR-TSK-100001568,Completed,0
UR-TSK-100001566,Completed,0
UR-TSK-100001564,Completed,0
UR-TSK-100001563,Completed,0
UR-TSK-100001557,Completed,0
UR-TSK-100001547,Completed,0
UR-TSK-100001544,Completed,0
UR-TSK-100001542,Completed,0
UR-TSK-100001541,Completed,0
UR-TSK-100001538,Completed,0
UR-TSK-100001536,Completed,0
UR-TSK-100001535,Completed,0
UR-TSK-100001533,Completed,0
UR-TSK-100001522,Completed,0
UR-TSK-100001521,Completed,0
UR-TSK-100001520,Completed,0
UR-TSK-100001512,Completed,0
UR-TSK-100001508,Completed,0
UR-TSK-100001507,Completed,0
UR-TSK-100001506,Completed,0
UR-TSK-100001501,Completed,0
UR-TSK-100001500,Completed,0
UR-TSK-100001497,Completed,0
UR-TSK-100001495,Completed,0
UR-TSK-100001494,Completed,0
UR-TSK-100001493,Completed,0
UR-TSK-100001491,Completed,0
UR-TSK-100001490,Completed,0
UR-TSK-100001489,Completed,0
UR-TSK-100001487,Completed,0
UR-TSK-100001486,Completed,0
UR-TSK-100001485,Completed,0
UR-TSK-100001481,Completed,0
UR-TSK-100001478,Completed,0
UR-TSK-100001477,Completed,0
UR-TSK-100001476,Completed,0
UR-TSK-100001475,Completed,0
UR-TSK-100001471,Completed,0
UR-TSK-100001469,Completed,0
UR-TSK-100001468,Completed,0
UR-TSK-100001467,Completed,0
UR-TSK-100001466,Completed,0
UR-TSK-100001464,Completed,0
UR-TSK-100001463,Completed,0
UR-TSK-100001462,Completed,0
UR-TSK-100001461,Completed,0
UR-TSK-100001460,Completed,0
UR-TSK-100001459,Completed,0
UR-TSK-100001458,Completed,0
UR-TSK-100001457,Completed,0
UR-TSK-100001455,Completed,0
UR-TSK-100001454,Completed,0
UR-TSK-100001453,Completed,0
UR-TSK-100001452,Completed,0
UR-TSK-100001451,Completed,0
UR-TSK-100001449,Completed,0
UR-TSK-100001448,Completed,0
UR-TSK-100001446,Completed,0
UR-TSK-100001444,Completed,0
UR-TSK-100001437,Completed,0
UR-TSK-100001436,Completed,0
UR-TSK-100001435,Completed,0
UR-TSK-100001434,Completed,0
UR-TSK-100001433,Completed,0
UR-TSK-100001425,Completed,0
UR-TSK-100001424,Completed,0
UR-TSK-100001423,Completed,0
UR-TSK-100001422,Completed,0
UR-TSK-100001421,Completed,0
UR-TSK-100001420,Completed,0
UR-TSK-100001418,Completed,0
UR-TSK-100001417,Completed,0
UR-TSK-100001416,Completed,0
UR-TSK-100001415,Completed,0
UR-TSK-100001414,Completed,0
UR-TSK-100001413,Completed,0
UR-TSK-100001410,Completed,0
UR-TSK-100001409,Completed,0
UR-TSK-100001408,Completed,0
UR-TSK-100001407,Completed,0
UR-TSK-100001406,Completed,0
UR-TSK-100001405,Completed,0
UR-TSK-100001403,Completed,0
UR-TSK-100001402,Completed,0
UR-TSK-100001401,Completed,0
UR-TSK-100001400,Completed,0
UR-TSK-100001399,Completed,0
UR-TSK-100001397,Completed,0
UR-TSK-100001394,Completed,0
UR-TSK-100001393,Completed,0
UR-TSK-100001392,Completed,0
UR-TSK-100001390,Completed,0
UR-TSK-100001389,Completed,0
UR-TSK-100001388,Completed,0
UR-TSK-100001386,Completed,0
UR-TSK-100001385,Completed,0
UR-TSK-100001383,Completed,0
UR-TSK-100001381,Completed,0
UR-TSK-100001380,Completed,0
UR-TSK-100001379,Completed,0
UR-TSK-100001378,Completed,0
UR-TSK-100001377,Completed,0
UR-TSK-100001375,Completed,0
UR-TSK-100001374,Completed,0
UR-TSK-100001373,Completed,0
UR-TSK-100001372,Completed,0
UR-TSK-100001371,Completed,0
UR-TSK-100001369,Completed,0
UR-TSK-100001368,Completed,0
UR-TSK-100001367,Completed,0
UR-TSK-100001366,Completed,0
UR-TSK-100001365,Completed,0
UR-TSK-100001364,Completed,0
UR-TSK-100001362,Completed,0
